buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5015.0,5.0,1000.0,206.23821107601788,3.3999693344021034,5000,5000.0,294.12030696868896
6018.0,6.0,1000.0,248.1952372977336,19.89752360533201,6000,6000.0,344.377818107605
7021.0,7.0,1000.0,308.9033780055512,19.851534160575248,7000,7000.0,394.7517592906952
8024.0,8.0,1000.0,253.96467045087226,19.88102943201987,8000,8000.0,445.0509660243988
9027.0,9.0,1000.0,391.2363313894053,19.84630731066468,9000,9000.0,495.43817377090454
10030.0,10.0,1000.0,365.281010779814,19.887973296019865,10000,10000.0,545.7198185920715
11033.0,11.0,1000.0,405.95010674315375,13.909061157240943,11000,11000.0,617.6153976917267
12036.0,12.0,1000.0,437.8565681334639,19.866089526442572,12000,12000.0,667.9524312019348
13039.0,13.0,1000.0,405.7662388525166,19.84302241241295,13000,13000.0,718.3479807376862
14042.0,14.0,1000.0,871.9260406224931,19.77086884441034,14000,14000.0,768.9274499416351
15045.0,15.0,1000.0,286.20253658475804,19.883196252961362,15000,15000.0,819.2211751937866
16048.0,16.0,1000.0,390.4873847506521,19.89571766040226,16000,16000.0,869.4832479953766
17051.0,17.0,1000.0,888.3531580966311,19.928523174401512,17000,17000.0,919.6625819206238
18054.0,18.0,1000.0,900.006854491805,19.993317167535736,18000,18000.0,969.6792950630188
19057.0,19.0,1000.0,898.6038656787504,19.93183644432382,19000,19000.0,1019.850287437439
20060.0,20.0,1000.0,898.833406336937,19.909674256859407,20000,20000.0,1070.0771269798279
21063.0,21.0,1000.0,900.844720851353,14.386239953102473,21000,21000.0,1139.5879933834076
22066.0,22.0,1000.0,900.9853185855962,19.87602834938871,22000,22000.0,1189.8998563289642
23069.0,23.0,1000.0,893.9091498770118,19.949632493664822,23000,23000.0,1240.0260934829712
24072.0,24.0,1000.0,898.0642822509892,19.929539880518856,24000,24000.0,1290.202867269516
25075.0,25.0,1000.0,896.3802214492663,19.910884504893826,25000,25000.0,1340.426654100418
26078.0,26.0,1000.0,894.0732337609276,19.87842225791211,26000,26000.0,1390.7324578762054
27081.0,27.0,1000.0,895.0908356026623,19.82646201700816,27000,27000.0,1441.1701011657715
28084.0,28.0,1000.0,901.7824278214233,19.828649768145475,28000,28000.0,1491.6021790504456
29087.0,29.0,1000.0,894.5807965914156,19.93174987200814,29000,29000.0,1541.7733895778656
30090.0,30.0,1000.0,898.7440523404969,19.913104258140507,30000,30000.0,1591.9915776252747
31093.0,31.0,1000.0,901.1783809462358,14.705136095285965,31000,31000.0,1659.995029449463
32096.0,32.0,1000.0,898.3204674961047,19.858163523068832,32000,32000.0,1710.3521535396576
33099.0,33.0,1000.0,906.3691261808005,19.834918195050175,33000,33000.0,1760.7682931423187
34102.0,34.0,1000.0,904.2106947033722,19.833402040640113,34000,34000.0,1811.1882870197296
35105.0,35.0,1000.0,907.564215460933,19.826053595297978,35000,35000.0,1861.6269690990448
36108.0,36.0,1000.0,908.9305461313194,19.83685393840843,36000,36000.0,1912.0381891727448
37111.0,37.0,1000.0,907.3357622562573,19.8035703749937,37000,37000.0,1962.5341351032257
38114.0,38.0,1000.0,909.081456025573,19.859354822482924,38000,38000.0,2012.8882384300232
39117.0,39.0,1000.0,909.9508990926935,19.79817380512414,39000,39000.0,2063.397948026657
40120.0,40.0,1000.0,907.0549653927204,19.880230623726792,40000,40000.0,2113.6991758346558
41123.0,41.0,1000.0,912.5474441758437,14.854780273331025,41000,41000.0,2181.0175738334656
42126.0,42.0,1000.0,912.4359600527448,19.858180070526938,42000,42000.0,2231.374656677246
43129.0,43.0,1000.0,913.6283895132884,19.85489330889077,43000,43000.0,2281.7400748729706
44132.0,44.0,1000.0,917.1634565792021,19.870766189634818,44000,44000.0,2332.065261363983
45135.0,45.0,1000.0,923.2325472479922,19.832749598140495,45000,45000.0,2382.4869141578674
46138.0,46.0,1000.0,920.2829053604452,19.88542727793864,46000,46000.0,2432.7749967575073
47141.0,47.0,1000.0,922.1140210128405,19.865482822751176,47000,47000.0,2483.1135671138763
48144.0,48.0,1000.0,924.9701760015699,19.852596774974455,48000,48000.0,2533.484811782837
49147.0,49.0,1000.0,925.0999585658371,19.883286739859955,49000,49000.0,2583.778308391571
50150.0,50.0,1000.0,927.2550277540744,19.89768860504252,50000,50000.0,2634.035402774811
51153.0,51.0,1000.0,921.0474598115441,14.751253579276094,51000,51000.0,2701.826252222061
52156.0,52.0,1000.0,928.2458661119894,19.923779349277723,52000,52000.0,2752.0175335407257
53159.0,53.0,1000.0,933.0558328334229,19.849529230882563,53000,53000.0,2802.396563053131
54162.0,54.0,1000.0,928.980098303936,19.82811911845958,54000,54000.0,2852.829990386963
55165.0,55.0,1000.0,928.4416814577038,19.830564786362167,55000,55000.0,2903.257197856903
56168.0,56.0,1000.0,931.511860437849,19.85364155356256,56000,56000.0,2953.62579202652
57171.0,57.0,1000.0,931.521289726865,19.922757552873442,57000,57000.0,3003.819647550583
58174.0,58.0,1000.0,933.5122435736666,19.873686149719934,58000,58000.0,3054.1374394893646
59177.0,59.0,1000.0,935.3236646695773,19.90424200406934,59000,59000.0,3104.3779866695404
60180.0,60.0,1000.0,933.9932625213258,19.865287590223087,60000,60000.0,3154.7170519828796
61183.0,61.0,1000.0,939.9548005358472,14.20106662392074,61000,61000.0,3225.1342985630035
62186.0,62.0,1000.0,939.1760469728389,19.884947320679778,62000,62000.0,3275.4235949516296
63189.0,63.0,1000.0,940.7126059279017,19.879251071033146,63000,63000.0,3325.727301120758
