buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5015.0,5.0,1000.0,0.0,2.6435737224842586,5000,5000.0,378.2758152484894
6018.0,6.0,1000.0,0.0,18.83889281062893,6000,6000.0,431.3574914932251
7021.0,7.0,1000.0,0.0,18.826182301681026,7000,7000.0,484.47500586509705
8024.0,8.0,1000.0,0.0,18.83954276608512,8000,8000.0,537.5548508167267
9027.0,9.0,1000.0,0.0,18.801032626334106,9000,9000.0,590.7434191703796
10030.0,10.0,1000.0,0.0,18.735556654195754,10000,10000.0,644.1178681850433
11033.0,11.0,1000.0,12.0,12.662078327276776,11000,11000.0,723.0938451290131
12036.0,12.0,1000.0,0.0,18.6990381424215,12000,12000.0,776.5725319385529
13039.0,13.0,1000.0,5.0,18.705794985806346,13000,13000.0,830.0319018363953
14042.0,14.0,1000.0,16.0,18.80346269943137,14000,14000.0,883.2135968208313
15045.0,15.0,1000.0,8.0,18.811883510602602,15000,15000.0,936.3714854717255
16048.0,16.0,1000.0,21.0,18.790006367486846,16000,16000.0,989.5912656784058
17051.0,17.0,1000.0,36.0,18.786155633675733,17000,17000.0,1042.8219549655914
18054.0,18.0,1000.0,59.0,18.77456205263694,18000,18000.0,1096.0855150222778
19057.0,19.0,1000.0,57.0,18.795205825836977,19000,19000.0,1149.2905728816986
20060.0,20.0,1000.0,86.0,18.81131147752218,20000,20000.0,1202.4500777721405
21063.0,21.0,1000.0,83.0,14.205800522598738,21000,21000.0,1272.843858718872
22066.0,22.0,1000.0,104.0,21.978083245519944,22000,22000.0,1318.3437323570251
23069.0,23.0,1000.0,90.0,21.964072136871142,23000,23000.0,1363.8726308345795
24072.0,24.0,1000.0,87.0,21.981787223829333,24000,24000.0,1409.3648376464844
25075.0,25.0,1000.0,113.0,21.959195421459505,25000,25000.0,1454.9038474559784
26078.0,26.0,1000.0,154.0,21.971096806918503,26000,26000.0,1500.4181892871857
27081.0,27.0,1000.0,183.0,21.96439212161367,27000,27000.0,1545.946424484253
28084.0,28.0,1000.0,192.0,21.977831037522094,28000,28000.0,1591.4468202590942
29087.0,29.0,1000.0,294.0,21.980055158812757,29000,29000.0,1636.942611694336
30090.0,30.0,1000.0,282.0,21.973591930528123,30000,30000.0,1682.4517855644226
